product_code,fund_name,aum_krw_million,aum_base_date,period,source_snippet,status
KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),"5,697.0",2024-12-22,14기,"14기(24.12.22) 13기(23.12.22) 12기(22.12.22) | 자본총계 5,697",OK
KR510902773M,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식),"45,254.0",2025-08-18,12기,"12기(25.08.18) 11기(24.08.18) 10기(23.08.18) | 자본총계 45,254",OK
KR510902777M,미래에셋코어밸류연금저축증권전환형자투자신탁1호(주식),"20,337.0",2025-09-29,12기,"12기(25.09.29) 11기(24.09.29) 10기(23.09.29) | 자본총계 20,337",OK
KR5110501016,미래에셋프리미엄크레딧알파증권자투자신탁(채권),"55,058.0",2025-11-07,19기,"19기(25.11.07) 18기(24.11.07) 17기(23.11.07) | 자본총계 55,058",OK
KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식],"2,827.0",2025-04-04,18기,"18기(25.04.04) 17기(24.04.04) 16기(23.04.04) | 자본총계 2,827",OK
KR5111420047,하나파워 e 단기채증권자투자신탁[채권],"466,791.1",2025-04-16,18기,"제 18 기 2025.04.16 | 자본총계 466,791,057,671",OK
KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],"208,758.4",2025-05-02,18기,"제 18 기 2025.05.02 | 자본총계 208,758,430,304",OK
KR5113420012,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(국공채),"22,527.7",2025-01-30,24기,"제 24 기 2025.01.30 | 자본총계 22,527,704,397",OK
KR5113420013,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),"50,484.2",2025-01-30,24기,"제 24 기 2025.01.30 | 자본총계 50,484,161,792",OK
KR5113420015,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),"50,484.2",2025-01-30,24기,"제 24 기 2025.01.30 | 자본총계 50,484,161,792",OK
KR5113420069,한국투자 크레딧포커스 ESG 증권 자투자신탁 1호(채권),"4,778,246.0",2025-11-02,17기,"제 17 기 2025.11.02 | 자본총계 4,778,246,032,393",OK
KR5113450111,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(주식),"258,052.4",2025-01-30,24기,"제 24 기 2025.01.30 | 자본총계 258,052,352,209",OK
KR5113450401,한국투자 중소밸류 증권 자투자신탁(주식),"67,260.1",2025-07-22,18기,"제 18 기 2025.07.22 | 자본총계 67,260,140,895",OK
KR5113470030,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),"34,588.6",2025-10-22,19기,"제 19 기 2025.10.22 | 자본총계 34,588,593,044",OK
KR5113470031,한국투자 인덱스플러스 증권 투자신탁 1호(주식-파생형),"34,588.6",2025-10-22,19기,"제 19 기 2025.10.22 | 자본총계 34,588,593,044",OK
KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권],"974,191.0",2025-04-25,20기,"제 20기 2025.04.25 | 자본총계 974,191,000,000",MANUAL_OK
KR5114420022,삼성클래식연금증권전환형투자신탁 제1호[채권],"31,788.0",2025-02-06,24기,"제 24기 2025.02.06 | 자본총계 31,788,000,000",MANUAL_OK
KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],"208,533.0",2025-02-26,12기,"제 12기 2025.02.26 | 자본총계 208,533,000,000",MANUAL_OK
KR5114420046,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권],"16,785.0",2025-12-31,20기," 20기 2025.12.31 | 자본총계 16,785",OK
KR5114450222,삼성클래식연금증권전환형자투자신탁 제1호[주식],"31,645.0",2024-12-29,16기," 16기 2024.12.29 | 자본총계 31,645",OK
KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],"241,137.0",2025-12-31,20기," 20기 2025.12.31 | 자본총계 241,137",OK
KR5116501001,브이아이 퇴직연금 증권 자투자신탁 1호[채권],"39,252.1",2020-12-25,14기,"제 14기 2020.12.25 | 자본총계 39,252,084,552",OK
KR5117420097,신한초단기채증권투자신탁[채권],"2,224,569.9",2025-05-23,1기,"요약재무정보에 관한 사항은 투자설명서 제4부 1.집합투자업자에 관한 사항을 참고하시 / 기 바랍니다. / 이 집합투자기구는 종류형 집합투자기구입니다. 집합투자기구의 종류는 판매수수료 부과방식-판매경로-기타 펀드 / 특성에 따라 3단계로 구분되며, 집합투자기구 종류의 대표적인 차이는 다음과 같습니다. / 종류(Class) 집합투자기구의 특징 / 집합투자 / 기구 의 / 종류 / 판매 / 수수료 / 수수료선취 / 집합투자증권 매입시점에 판매수수료가 일시 징구되는 반면 판매보수가 판매수수",MANUAL_OK
KR5118201004,우리하이플러스채권증권자투자신탁1호(채권),"2,920,496.7",2025-10-26,21기,"제 21기 2025.10.26 | 자본총계 2,920,496,678,257",MANUAL_OK
KR5118420006,우리나라초단기채권증권투자신탁[채권],"1,188,955.1",2025-10-21,2기,"제 2기 2025.10.21 | 자본총계 1,188,955,099,142",MANUAL_OK
KR5118420036,우리나라중단기ESG채권증권자투자신탁1호(채권),"20,566.6",2025-01-16,14기,"요약재무정보  / [단위 : 원] / [단위 : 원, %] / 재무상태표 / 제12기제13기제14기 / (2025.01.16) (2024.01.16) (2023.01.16)항       목 / 운용자산 /   증권 / 12,450,395,630 15,073,009,777 / 12,449,384,831 15,072,028,617 / 20,566,596,915 / 원본 / 0 / 460,556,749수익조정금 / 20,565,556,128 / 0 / 18,913,316,014 / 0 / 20,566,598,06",MANUAL_OK
KR5118420062,우리단기채권증권투자신탁(채권),"2,620,757.0",2025-09-15,10기,"요약재무정보  / [단위 : 원] / [단위 : 원, %] / 당기순이익 51,967,257,139 74,324,533,358 30,028,355,828 / -114,290,830 -45,497,740 / 0 0 /   매매수수료 -7,836,592,870 -9,406,122,023 -3,775,038,438 /   관련회사 보수 0 / 매매회전율 0 0 0 / 운용비용 -7,836,592,870 -9,406,122,023 -3,775,038,438 / 기타비용 -90,585,7",MANUAL_OK
KR5119450058,신한코리아롱숏증권자투자신탁[주식],"11,607.9",2025-02-04,11기,"요약재무정보에 관한 사항은 투자설명서 제4부 1.집합투자업자에 관한 사항을 참고하시 / 기 바랍니다. / 이 집합투자기구는 종류형 집합투자기구입니다. 집합투자기구의 종류는 판매수수료 부과방식-판매경로-기타 펀드 / 특성에 따라 3단계로 구분되며, 집합투자기구 종류의 대표적인 차이는 다음과 같습니다. / 종류(Class) 집합투자기구의 특징 / 집합투자 / 기구 의 / 종류 / 판매 / 수수료 / 수수료선취 / 집합투자증권 매입시점에 판매수수료가 일시 징구되는 반면 판매보수가 판매수수",MANUAL_OK
KR5119501001,신한퇴직연금국공채증권자투자신탁[채권],"2,562.8",2025-05-17,19기,"요약재무정보에 관한 사항은 투자설명서 제4부 1.집합투자업자에 관한 사항을 참고하시 / 기 바랍니다. / 이 집합투자기구는 종류형 집합투자기구입니다. 집합투자기구의 종류는 판매수수료 부과방식-판매경로-기타 펀드 / 특성에 따라 3단계로 구분되며, 집합투자기구 종류의 대표적인 차이는 다음과 같습니다. / 종류(Class) 집합투자기구의 특징 / 집합투자 / 기구 의 / 종류 / 판매 / 수수료 / 수수료미징 / 구 집합투자증권 매입 또는 환매시점에 일시 징구되는 판매수수료가 없는 집합",MANUAL_OK
KR5119520012,신한상대가치장기증권자투자신탁[채권],"46,415.0",2025-01-31,19기,"요약재무정보에 관한 사항은 투자설명서 제4부 1.집합투자업자에 관한 사항을 참고하시 / 기 바랍니다. / 이 집합투자기구는 종류형 집합투자기구입니다. 집합투자기구의 종류는 판매수수료 부과방식-판매경로-기타 펀드 / 특성에 따라 3단계로 구분되며, 집합투자기구 종류의 대표적인 차이는 다음과 같습니다. / 종류(Class) 집합투자기구의 특징 / 집합투자 / 기구 의 / 종류 / 판매 / 수수료 수수료선취 / 집합투자증권 매입시점에 판매수수료가 일시 징구되는 반면 판매보수가 판매수수",MANUAL_OK
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),"1,608,549.2",2025-09-04,19기,"제 19 기 2025.09.04 | 자본총계 1,608,549,227,614",OK
KR5120420091,교보악사 내일환매 초단기우량채증권투자신탁[채권],"275,511.0",2024-12-20,2기,"제 2 기 2024.12.20 | 자본총계 275,510,975,721",OK
KR5120450015,교보악사 파워인덱스 증권 자투자신탁 1호(주식),"307,969.1",2024-12-18,16기,"제 16 기 2024.12.18 | 자본총계 307,969,109,879",OK
KR5120450018,교보악사 파워인덱스 증권 자투자신탁 1호(주식),"307,969.1",2024-12-18,16기,"제 16 기 2024.12.18 | 자본총계 307,969,109,879",OK
KR5120451001,교보악사 파워인덱스증권자투자신탁 2호[주식],"18,295.2",2025-06-03,18기,"제 18 기 2025.06.03 | 자본총계 18,295,246,617",OK
KR5122420005,유진챔피언단기채증권자투자신탁(채권),"2,080,218.2",2025-12-03,11기,"제 11 기 2025.12.03 | 자본총계 2,080,218,226,294",OK
KR5123365001,키움 연금 증권 자투자신탁 제C1호[국공채],627.5,2025-02-22,23기,"제 23 기 2025.02.22 | 자본총계 627,461,195",OK
KR5123420015,키움 단기 국공채 증권 자투자신탁 제1호[채권],"76,285.2",2025-02-26,11기,"제 11 기 2025.02.26 | 자본총계 76,285,169,067",OK
KR5123420039,키움파이어니어ESG증권자투자신탁제1호[채권],"43,029.9",2024-12-31,19기,"제19기 2024.12.31 | 자본총계 43,029,917,424",OK
KR5123420049,키움더드림단기채증권투자신탁[채권],"2,004,156.6",2024-12-12,7기,"제 7 기 2024.12.12 | 자본총계 2,004,156,619,825",OK
KR5123490013,키움 Smart Investor 분할매수 증권 자투자신탁 제1호[주식혼합-재간접형],"19,513.8",2025-04-08,13기,"제 13 기 2025.04.08 | 자본총계 19,513,829,658",OK
KR5123490016,키움 Smart Investor 분할매수 증권 자투자신탁 제1호[주식혼합-재간접형],"19,513.8",2025-04-08,13기,"제 13 기 2025.04.08 | 자본총계 19,513,829,658",OK
KR5123490017,키움 Smart Investor 분할매수 증권 자투자신탁 제1호[주식혼합-재간접형],"19,513.8",2025-04-08,13기,"제 13 기 2025.04.08 | 자본총계 19,513,829,658",OK
KR5125450023,신영밸류고배당증권자투자신탁(주식),"1,076,008.7",2025-05-25,22기,"제 22 기 2025.05.25 | 자본총계 1,076,008,724,468",OK
KR5125450070,신영마라톤증권자투자신탁(주식),"412,563.2",2025-04-24,23기,"제 23 기 2025.04.24 | 자본총계 412,563,204,038",OK
KR5127420034,KB스타 중기 국공채 증권 자투자신탁(채권),"157,229.7",2024-12-30,21기,"요약재무정보                                                                                   (단위: 원)  / 재무상태표 / 제 19기제 20기제 21기 / 2024.12.30 2023.12.30 2022.12.30항       목 / 운용자산 /   증권 / 129,698,950,200 100,979,408,921 / 120,871,176,896 97,364,653,322 / 157,346,237,729",MANUAL_OK
KR5127420039,KB스타 중기 국공채 증권 자투자신탁(채권),"157,229.7",2024-12-30,21기,"요약재무정보                                                                                   (단위: 원)  / 재무상태표 / 제 19기제 20기제 21기 / 2024.12.30 2023.12.30 2022.12.30항       목 / 운용자산 /   증권 / 129,698,950,200 100,979,408,921 / 120,871,176,896 97,364,653,322 / 157,346,237,729",MANUAL_OK
KR5127420045,KB스타 단기 국공채 증권 자투자신탁(채권),"83,221.5",2025-08-19,10기,"요약재무정보                                                                                   (단위: 원)  /   / (단위: 원, %)   /   / 주1) 매매회전율이란 주식매매의 빈번한 정도를 나타내는 지표로서 해당 운용기간 동안 매도한 주식가액을 같은 기간 동안 평균적으 / 로 보유한 주식가액으로 나누어 산출합니다. 1회계년도 동안의 평균적인 주식투자규모가 100억원이고, 주식매도금액 또",MANUAL_OK
KR5127420083,KB 장기국채 플러스 증권 자투자신탁(채권),"60,497.8",2025-09-06,9기,"요약재무정보  / (단위: 원)   / 재무상태표 / 제 7기제 8기제 9기 / 2025.09.06 2024.09.06 2023.09.06항       목 / 운용자산 /   증권 / 31,735,381,365 25,351,581,645 / 30,672,554,281 24,747,018,786 / 60,542,237,136 / 1,928,075,810 / 원본 / 45,073,112 / 2,408,059,826수익조정금 / 58,614,161,326 / 45,073,112 / 58,162,060,69",MANUAL_OK
KR5127450117,KB 그로스 포커스 증권 자투자신탁(주식),"88,856.1",2025-11-03,23기,"요약재무정보                                                                                   (단위: 원)   / 자본총계 88,856,064,293 / 30,081,147,084 46,208,254,979 / -2,148,956,520 133,931,004 / 58,056,329,421 17,234,088,102 17,652,972,044 / 45,165,065,815 63,975,518,022",MANUAL_OK
KR5127450215,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형),"115,710.1",2025-05-16,9기,"요약재무정보  / 이 투자신탁의 재무제표는 주식회사의 외부감사에 관한 법률에 의한 기업회계기간 중 투자신탁에 관한 회계기준에  / 따라 작성되었으며, 동 재무제표에 대한 회계감사법인 및 감사의견은 다음과 같습니다.  / 기  간 회계감사법인 감사의견 / 제9기(2024.05.17~2025.05.16) 신한 적정 / 제8기(2023.05.17~2024.05.16) 신한 적정 / 제7기(2022.05.17~2023.05.16) 신한 적정 /   / ※ 회계감사인의 회계감사를 ",MANUAL_OK
KR5127450217,KB스타 코스닥150 인덱스 증권 자투자신탁(주식-파생형),"115,710.1",2025-05-16,9기,"요약재무정보  / 이 투자신탁의 재무제표는 주식회사의 외부감사에 관한 법률에 의한 기업회계기간 중 투자신탁에 관한 회계기준에  / 따라 작성되었으며, 동 재무제표에 대한 회계감사법인 및 감사의견은 다음과 같습니다.  / 기  간 회계감사법인 감사의견 / 제9기(2024.05.17~2025.05.16) 신한 적정 / 제8기(2023.05.17~2024.05.16) 신한 적정 / 제7기(2022.05.17~2023.05.16) 신한 적정 /   / ※ 회계감사인의 회계감사를 ",MANUAL_OK
KR5127450473,KB 코리아 밸류업 액티브 증권 자투자신탁(주식),"18,151.4",2025-11-04,1기,"요약재무정보  / (단위: 원)  /   / (단위: 원, %)  /   / 주1) 매매회전율이란 주식매매의 빈번한 정도를 나타내는 지표로서 해당 운용기간 동안 매도한 주식가액을 같은 기간 동안 평균적 / 으로 보유한 주식가액으로 나누어 산출합니다. 1 회계년도 동안의 평균적인 주식투자규모가 100억원이고, 주식매도금액 또한  / 100억원인 경우 매매회전율은 100%(연기준)로 합니다. 이 투자신탁의 당기 매매회전율은 아래와 같이 산출 되었습니다.  /   / ※ 동종유형 ",MANUAL_OK
KR5129420025,한화내일받는단기국공채증권 자투자신탁(채권),"448,908.1",2025-03-05,19기,요약재무상태표 /   /,MANUAL_OK
KR5129420031,한화코리아밸류채권증권 자투자신탁(채권),"301,049.1",2025-10-27,17기,요약재무상태표 /,MANUAL_OK
KR5131420007,DB정통크레딧증권자투자신탁[채권],"108,553.5",2025-07-18,8기,"제 8 기 2025.07.18 | 자본총계 108,553,456,526",OK
KR5131420025,DB다같이장기채권증권투자신탁[채권],"62,117.8",2024-12-27,9기,"제9기 2024.12.27 | 자본총계 62,117,756,800",OK
KR5139420015,흥국멀티크레딧증권자투자신탁[채권],"148,929.8",2025-06-25,17기,"제 17기 2025.06.25 | 자본총계 148,929,800,545",OK
KR5139420020,흥국퇴직연금멀티크레딧증권자투자신탁[채권],"76,952.2",2025-09-29,11기,"제 11기 2025.09.29 | 자본총계 76,952,183,140",OK
KR5144420020,NH-Amundi 국채10년 인덱스 증권자투자신탁[채권],"424,167.6",2025-08-31,11기,"(역순 표) 424,167,622,451 408,509,880,501 323,559,868,824자본총계 | 날짜열 ['2025-08-31', '2024-08-31', '2023-08-31']",OK
KR5144420081,NH-Amundi USD 초단기채권 증권자투자신탁(UH)[채권],"119,764.3",2025-01-24,6기,"(역순 표) 119,764,250,484 46,396,040,408 47,344,767,832자본총계 | 날짜열 ['2025-01-24', '2024-01-24', '2023-01-24']",OK
KR5144420091,NH-Amundi 하나로 단기채 증권투자신탁[채권],"16,170.8",2025-09-13,7기,"요약재무정보                                        / NH-Amundi 하나로 단기채 증권투자신탁[채권] [단위 : 원, %] / 0 0 /   매매수수료 4,080,000 2,560,000 120,000 / 당기순이익 16,170,840,709 6,563,000,110 2,880,988,512 / 매매회전율 0.00 0.00 0.00 / 운용비용 43,537,013 16,925,223 6,972,015 /   기타비용 39,457,01",MANUAL_OK
KR5144450095,NH-Amundi 필승 코리아 증권투자신탁[주식],"586,132.5",2025-08-13,6기,"(역순 표) 586,132,545,378 324,818,977,211 337,961,123,004자본총계 | 날짜열 ['2025-08-13', '2024-08-13', '2023-08-13']",OK
KR5147430065,KCGI코리아목표전환형증권투자신탁4호[채권혼합](운용전환일 이후) KCGI코리아목표전환형증권투자신탁4호[채권],"33,815.0",2024-12-31,17기,"요약 재무상태표>                                   < 요약 손익계산서>                              (단위:백만원)  / 구  분  / 제 17기말 제 16기말   / 구   분   / 제17기  제16기   / 2024.12.31  2023.12.31    / 2024.01.01~   / 2024.12.31   / 2023.01.01~   / 2023.12.31  / 자산총계 69,721 68,471  영업수익  17,384 ",MANUAL_OK
KR514X450008,VIP한국형가치투자증권자투자신탁[주식],,,,,MANUAL_NONE
KR5152420028,다올전단채증권투자신탁[채권],"14,042.0",2025-01-12,9기,,MANUAL_OK
KR515302022M,KCGI코리아증권투자신탁1호[주식],"574,548.7",2025-07-07,12기,"제 12 기 2025.07.07 | 자본총계 574,548,738,230",OK
KR5153420022,미래에셋라이프사이클7090연금증권전환형자투자신탁1호(채권),"71,015.0",2020-12-31,16기,"16기(20.12.31) | 자본총계
71,015",OK
KR5153420063,미래에셋솔로몬단기국공채증권자투자신탁1호(채권),"4,426.0",2024-12-29,21기,"21기(24.12.29) 20기(23.12.29) 19기(22.12.29) | 자본총계 4,426",OK
KR5153420079,미래에셋솔로몬중장기국공채증권자투자신탁1호(채권),"892,395.0",2025-05-10,16기,"16기(25.05.10) 15기(24.05.10) 14기(23.05.10) | 자본총계 892,395",OK
KR5153420105,미래에셋솔로몬장기국공채증권자투자신탁1호(채권),"70,805.0",2025-11-17,17기,"17기(25.11.17) 16기(24.11.17) 15기(23.11.17) | 자본총계 70,805",OK
KR5153420318,미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권),"8,453.0",2025-07-31,1기,"1기(25.07.31) - - | 자본총계 8,453",OK
KR5153420339,미래에셋프리미엄크레딧초단기증권투자신탁(채권),,,,,MANUAL_NONE
KR5153450009,미래에셋퇴직플랜증권자투자신탁1호(주식),"10,554.0",2024-11-30,19기,"19기(24.11.30) 18기(23.11.30) 17기(22.11.30) | 자본총계 10,554",OK
KR5153450112,미래에셋라이프사이클2030연금증권전환형자투자신탁1호(주식),"158,973.0",2024-12-31,20기,"20기(24.12.31) 19기(23.12.31) 18기(22.12.31) | 자본총계 158,973",OK
KR5153450209,미래에셋퇴직연금코어밸류증권자투자신탁1호(주식),"19,295.0",2025-04-28,10기,"10기(25.04.28) 9기(24.04.28) 8기(23.04.28) | 자본총계 19,295",OK
KR5153450250,미래에셋퇴직연금고배당포커스증권자투자신탁1호(주식),"45,008.0",2025-06-30,10기,"10기(25.06.30) 9기(24.06.30) 8기(23.06.30) | 자본총계 45,008",OK
KR5153450268,미래에셋스마트롱숏70증권자투자신탁1호(주식),"17,121.0",2025-10-15,12기,"12기(25.10.15) 11기(25.04.15) 10기(24.04.15) | 자본총계 17,121",OK
KR5153450431,미래에셋인덱스플러스연금증권전환형자투자신탁1호(주식),"5,479.0",2025-05-07,13기,"13기(25.05.07) 12기(24.05.07) 11기(23.05.07) | 자본총계 5,479",OK
KR5153450658,미래에셋솔로몬초단기국공채증권자투자신탁2호(채권),"1,827.0",2025-10-22,8기,"8기(25.10.22) 7기(24.10.22) 6기(23.10.22) | 자본총계 1,827",OK
KR5153450772,미래에셋그린뉴딜인덱스증권자투자신탁(주식),"24,923.0",2025-04-30,16기,"16기(25.04.30) 15기(24.04.30) 14기(23.04.30) | 자본총계 24,923",OK
