file_number,product_code,class_code,account_type,channel,class_label,source_file,total_fee_ratio_raw,total_expense_ratio_raw,cost_1y_per_10m_krw_v2,cost_2y_per_10m_krw_v2,cost_3y_per_10m_krw,cost_5y_per_10m_krw_v2,cost_10y_per_10m_krw_v2,validation_status,validation_status_before_review,review_source_page,review_note,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26
1,KR510902511M,A,일반,불명,수수료선취형(A),R2_KR510902511M.pdf,1.4700,1.4700,250,408,574,926,1937,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,A-E,일반,온라인,수수료선취-온라인(A-e),R2_KR510902511M.pdf,1.1200,1.1200,164,285,411,679,1449,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,C-E,일반,온라인,수수료미징구-온라인(C-e),R2_KR510902511M.pdf,1.2700,1.2700,130,266,409,714,1587,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,C-P,연금저축,오프라인,종류C-P 수수료미징구-오 프라인-개인연금,R2_KR510902511M.pdf,1.5700,1.5700,160,329,506,883,1962,SOURCE_PARSED,,,,,,,,,,,
1,KR510902511M,C-P2,퇴직연금/IRP,오프라인,종류C-P2 수수료미징구-오 프라인-퇴직연금,R2_KR510902511M.pdf,1.4100,1.4100,144,296,454,793,1762,SOURCE_PARSED,,,,,,,,,,,
1,KR510902511M,C-P2E,퇴직연금/IRP,온라인,종류C-P2e 수수료미징구-온 라인-퇴직연금,R2_KR510902511M.pdf,1.0900,1.0900,111,228,351,613,1362,SOURCE_PARSED,,,,,,,,,,,
1,KR510902511M,C-PE,연금저축,온라인,종류C-Pe 수수료미징구-온 라인-개인연금,R2_KR510902511M.pdf,1.1700,1.1700,119,245,377,658,1462,SOURCE_PARSED,,,,,,,,,,,
1,KR510902511M,C1,일반,오프라인,종류C1 수수료미징구-오 프라인-보수체감,R2_KR510902511M.pdf,2.0700,2.0700,212,413,601,953,1964,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,C2,일반,오프라인,종류C2 수수료미징구-오 프라인-보수체감,R2_KR510902511M.pdf,1.8700,1.8700,,,,,,SOURCE_PARSED,,,기간별 비용 예시가 없거나 클래스 연결 실패; 일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,C3,일반,오프라인,종류C3 수수료미징구-오 프라인-보수체감,R2_KR510902511M.pdf,1.6700,1.6700,,,,,,SOURCE_PARSED,,,기간별 비용 예시가 없거나 클래스 연결 실패; 일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,C4,일반,오프라인,종류C4 수수료미징구-오 프라인-보수체감,R2_KR510902511M.pdf,1.4700,1.4700,,,,,,SOURCE_PARSED,,,기간별 비용 예시가 없거나 클래스 연결 실패; 일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,CG,일반,오프라인,종류CG 수수료미징구-오 프라인-무권유저 비용,R2_KR510902511M.pdf,1.4200,1.4200,145,298,457,798,1774,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,F,일반,오프라인,"종류F 수수료미징구-오 프라인-랩, 펀드 등",R2_KR510902511M.pdf,0.7700,0.7700,78,161,248,433,962,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
1,KR510902511M,S,일반,온라인슈퍼,종류S 수수료후취-온라 인슈퍼,R2_KR510902511M.pdf,1.1100,1.1100,129,233,357,624,1387,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
2,KR510902773M,C,일반,불명,수수료미징구형(C),R2_KR510902773M.pdf,1.5400,1.5400,157,323,496,866,1924,SOURCE_PARSED,,,일반 클래스: Cost Guard 연금 비교 대상 여부 별도 판단,,,,,,,,
