product_code,class_code,account_type,channel,total_expense_ratio,synthetic_total_expense_ratio,cost_3y_per_10m_krw,total_expense_source_page,synthetic_expense_source_page,cost_3y_source_page,class_label,source_file,parse_status,validation_status,validation_status_before_review,review_source_page,review_note
KR510902511M,C-P,연금저축,오프라인,1.57,,,,,,오프라인-개인연금,KR510902511M.txt,clean,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR510902511M,C-P2,퇴직연금/IRP,오프라인,1.41,,,,,,오프라인-퇴직연금,KR510902511M.txt,clean,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR510902773M,C,연금저축,오프라인,0.02,,,,,,오프라인-개인연금,KR510902773M.txt,clean,EXTRA_IN_PARSER,,,
KR510902773M,C-E,연금저축,온라인,0.02,,,,,,온라인-개인연금,KR510902773M.txt,clean,EXTRA_IN_PARSER,,,
KR510902777M,C,연금저축,오프라인,0.02,,,,,,오프라인-개인연금,KR510902777M.txt,clean,EXTRA_IN_PARSER,,,
KR510902777M,C-E,연금저축,온라인,0.02,,,,,,온라인-개인연금,KR510902777M.txt,clean,EXTRA_IN_PARSER,,,
KR5110501016,C-P,연금저축,오프라인,0.34,,,,,,오프라인-개인연금,KR5110501016.txt,clean,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5110601022,C-P,연금저축,오프라인,0.4825,,,,,,오프라인-개인연금,KR5110601022.txt,clean,REVIEWED_REFERENCE_CORRECT,FIELD_MISMATCH,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5111420047,C-P,연금저축,오프라인,0.012,0.177,,,,,오프라인-개인연금,KR5111420047.txt,clean,REFERENCE_INCOMPLETE,,,
KR5111420047,C-P2,퇴직연금/IRP,오프라인,0.012,0.1736,,,,,오프라인-퇴직연금,KR5111420047.txt,clean,REFERENCE_INCOMPLETE,,,
KR5111450067,C-P,연금저축,오프라인,0.018,,,,,,오프라인-개인연금,KR5111450067.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113420012,C,연금저축,오프라인,0.5517,,,,,,오프라인-개인연금,KR5113420012.txt,clean,EXTRA_IN_PARSER,,,
KR5113420012,C-E,연금저축,온라인,0.3564,,,,,,온라인-개인연금,KR5113420012.txt,clean,MATCH,,,
KR5113420013,C,연금저축,오프라인,0.5468,0.5556,,,,,오프라인-개인연금,KR5113420013.txt,clean,EXTRA_IN_PARSER,,,
KR5113420013,C-E,연금저축,온라인,0.3517,0.3605,,,,,온라인-개인연금,KR5113420013.txt,clean,METRIC_SEMANTIC_MISMATCH,,,
KR5113420013,C-F,연금저축,오프라인,0.184,0.184,,,,,"오프라인-개인연금,기관",KR5113420013.txt,clean,EXTRA_IN_PARSER,,,
KR5113420013,C-R,퇴직연금/IRP,오프라인,0.539,0.539,,,,,오프라인-퇴직연금,KR5113420013.txt,clean,MATCH,,,
KR5113420013,C-RF,퇴직연금/IRP,오프라인,0.174,0.174,,,,,"오프라인-퇴직연금,기관",KR5113420013.txt,clean,EXTRA_IN_PARSER,,,
KR5113420013,C-RJ,퇴직연금/IRP,직판,0.154,0.154,,,,,직판-퇴직연금,KR5113420013.txt,clean,MATCH,,,
KR5113420015,C,연금저축,오프라인,0.5468,0.5556,,,,,오프라인-개인연금,KR5113420015.txt,clean,EXTRA_IN_PARSER,,,
KR5113420015,C-E,연금저축,온라인,0.3517,0.3605,,,,,온라인-개인연금,KR5113420015.txt,clean,METRIC_SEMANTIC_MISMATCH,,,
KR5113420015,C-F,연금저축,오프라인,0.184,0.184,,,,,"오프라인-개인연금,기관",KR5113420015.txt,clean,EXTRA_IN_PARSER,,,
KR5113420015,C-R,퇴직연금/IRP,오프라인,0.539,0.539,,,,,오프라인-퇴직연금,KR5113420015.txt,clean,MATCH,,,
KR5113420015,C-RF,퇴직연금/IRP,오프라인,0.174,0.174,,,,,"오프라인-퇴직연금,기관",KR5113420015.txt,clean,EXTRA_IN_PARSER,,,
KR5113420015,C-RJ,퇴직연금/IRP,직판,0.154,0.154,,,,,직판-퇴직연금,KR5113420015.txt,clean,MATCH,,,
KR5113420069,C-P,연금저축,오프라인,0.4084,0.4169,,,,,오프라인-개인연금,KR5113420069.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113420069,C-PE,연금저축,온라인,0.2964,0.3048,,,,,온라인-개인연금,KR5113420069.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113420069,C-R,퇴직연금/IRP,오프라인,0.4034,0.4119,,,,,오프라인-퇴직연금,KR5113420069.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113420069,C-RE,퇴직연금/IRP,온라인,0.2935,0.3018,,,,,온라인-퇴직연금,KR5113420069.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113450111,C,연금저축,오프라인,1.1856,,,,,,오프라인-개인연금,KR5113450111.txt,clean,EXTRA_IN_PARSER,,,
KR5113450111,C-E,연금저축,온라인,0.7104,,,,,,온라인-개인연금,KR5113450111.txt,clean,MATCH,,,
KR5113450401,C-P,연금저축,오프라인,1.5219,1.5254,,,,,오프라인-개인연금,KR5113450401.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113450401,C-PE,연금저축,온라인,1.047,1.0504,,,,,온라인-개인연금,KR5113450401.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113450401,C-R,퇴직연금/IRP,오프라인,1.2019,1.2054,,,,,오프라인-퇴직연금,KR5113450401.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113450401,C-RE,퇴직연금/IRP,온라인,0.8872,0.8906,,,,,온라인-퇴직연금,KR5113450401.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113470030,C-P,연금저축,오프라인,0.6615,,,,,,오프라인-개인연금,KR5113470030.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113470030,C-PE,연금저축,온라인,0.4167,,,,,,온라인-개인연금,KR5113470030.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113470030,S-P,연금저축,온라인슈퍼,0.3169,,,,,,온라인슈퍼-개인연금,KR5113470030.txt,clean,REFERENCE_INCOMPLETE,,,
KR5113470031,C-P,연금저축,오프라인,0.6615,,,,,,오프라인-개인연금,KR5113470031.txt,clean,REFERENCE_INCOMPLETE,,,
