product_code,class_code,field,parser_value,reference_value,review_status,reviewed_value,source_page,note,pdf_found,pdf_file,page,table,row_index,score,numeric_values,row_text,suggested_review_status,audit_note
KR5110501016,C-P,total_expense_ratio,0.33,0.34,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5110501016.pdf,,,,,,,,
KR5114420027,CYE,total_expense_ratio,0.2641,,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5114420027.pdf,35,0,5,65,0.12/0.12/0.01/0.0/0.25/0.0141/0.2641/0.2641/0.0151,"수수료미징구-온라인-무권유저비용,개 인연금(CYe) | 0.12 | 0.12 | 0.01 | 0.00 | 0.25 | 0.0141 | 0.2641 | - | 0.2641 | 0.0151",PARSER_CORRECT,reference value empty/out-of-range; parser value appears in PDF fee row
KR5114420027,CYE,account_type,연금저축,퇴직연금/IRP,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5114420027.pdf,35,0,5,65,0.12/0.12/0.01/0.0/0.25/0.0141/0.2641/0.2641/0.0151,"수수료미징구-온라인-무권유저비용,개 인연금(CYe) | 0.12 | 0.12 | 0.01 | 0.00 | 0.25 | 0.0141 | 0.2641 | - | 0.2641 | 0.0151",,
KR5114450270,SP,total_expense_ratio,0.3741,,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5114450270.pdf,29,0,5,55,0.17/0.16/0.02/0.0/0.35/0.0241/0.3741/0.3741/0.0574,수수료미징구-온라인슈퍼-퇴직연금 (Sp) | 0.17 | 0.16 | 0.02 | 0.00 | 0.35 | 0.0241 | 0.3741 | - | 0.3741 | 0.0574,PARSER_CORRECT,reference value empty/out-of-range; parser value appears in PDF fee row
KR5114450270,SP,channel,온라인슈퍼,오프라인,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5114450270.pdf,29,0,5,55,0.17/0.16/0.02/0.0/0.35/0.0241/0.3741/0.3741/0.0574,수수료미징구-온라인슈퍼-퇴직연금 (Sp) | 0.17 | 0.16 | 0.02 | 0.00 | 0.35 | 0.0241 | 0.3741 | - | 0.3741 | 0.0574,PARSER_CORRECT,online-super in PDF row
KR5117420097,C-PE,total_expense_ratio,0.2137,,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5117420097.pdf,30,0,3,55,0.06/0.125/0.01/0.01/0.205/0.0087/0.2137/0.2137/0.0042,수수료미징구-온라인- 개인연금 (C-pe) | 0.060 | 0.125 | 0.010 | 0.010 | 0.205 | - | 0.0087 | 0.2137 | 0.2137 | 0.0042,PARSER_CORRECT,reference value empty/out-of-range; parser value appears in PDF fee row
KR5117420097,C-PE,account_type,연금저축,퇴직연금/IRP,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5117420097.pdf,30,0,3,55,0.06/0.125/0.01/0.01/0.205/0.0087/0.2137/0.2137/0.0042,수수료미징구-온라인- 개인연금 (C-pe) | 0.060 | 0.125 | 0.010 | 0.010 | 0.205 | - | 0.0087 | 0.2137 | 0.2137 | 0.0042,PARSER_CORRECT,personal pension in PDF row
KR5119450058,C-PE,total_expense_ratio,1.1117,,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5119450058.pdf,37,0,7,55,0.65/0.42/0.025/0.015/1.11/0.0017/1.1117/1.1745/1.7326,수수료미징구-온라인- 개인연금 (C-pe) | 0.650 | 0.420 | 0.025 | 0.015 | 1.110 | - | 0.0017 | 1.1117 | 1.1745 | 1.7326,PARSER_CORRECT,reference value empty/out-of-range; parser value appears in PDF fee row
KR5119450058,C-PE,channel,온라인,온라인슈퍼,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5119450058.pdf,37,0,7,55,0.65/0.42/0.025/0.015/1.11/0.0017/1.1117/1.1745/1.7326,수수료미징구-온라인- 개인연금 (C-pe) | 0.650 | 0.420 | 0.025 | 0.015 | 1.110 | - | 0.0017 | 1.1117 | 1.1745 | 1.7326,PARSER_CORRECT,online in PDF row
KR5119450058,C-PE,account_type,연금저축,퇴직연금/IRP,,,,FIELD_MISMATCH / expense_ratio_mismatch / 비용표 원문에서 총보수·비용 컬럼 재확인,Y,R2_KR5119450058.pdf,37,0,7,55,0.65/0.42/0.025/0.015/1.11/0.0017/1.1117/1.1745/1.7326,수수료미징구-온라인- 개인연금 (C-pe) | 0.650 | 0.420 | 0.025 | 0.015 | 1.110 | - | 0.0017 | 1.1117 | 1.1745 | 1.7326,PARSER_CORRECT,personal pension in PDF row
