product_code,class_code,field,parser_value,reference_value,review_status,reviewed_value,source_page,note
KR510902511M,C-P,total_expense_ratio,0.02,1.57,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR510902511M,C-P2,total_expense_ratio,0.02,1.41,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5110501016,C-P,total_expense_ratio,0.01,0.34,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5110601022,C-P,total_expense_ratio,0.0125,0.4825,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114420027,CYE,total_expense_ratio,0.2641,,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114420027,CYE,account_type,연금저축,퇴직연금/IRP,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114450270,SP,total_expense_ratio,0.3741,,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5114450270,SP,channel,온라인슈퍼,오프라인,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5117420097,C-PE,total_expense_ratio,0.2137,,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5117420097,C-PE,account_type,연금저축,퇴직연금/IRP,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119450058,C-PE,total_expense_ratio,1.1117,,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119450058,C-PE,channel,온라인,온라인슈퍼,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119450058,C-PE,account_type,연금저축,퇴직연금/IRP,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119520012,C-PE,total_expense_ratio,0.4,,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119520012,C-PE,channel,온라인,온라인슈퍼,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5119520012,C-PE,account_type,연금저축,퇴직연금/IRP,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5122420005,C-PE2,channel,온라인,오프라인,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5122420005,O,channel,불명,오프라인,,,,FIELD_MISMATCH / channel_mismatch / 클래스 정의 원문에서 판매채널 재확인
KR5139420020,C,total_expense_ratio,0.3148,0.0023,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5139420020,C-E,total_expense_ratio,0.2198,0.0023,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420063,C-P,total_expense_ratio,0.02,0.48,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420063,C-P2,total_expense_ratio,0.02,0.47,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420079,C-P,total_expense_ratio,0.01,1.97,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
KR5153420079,C-P2,total_expense_ratio,0.01,2.0,,,,FIELD_MISMATCH / same_metric_mismatch / 동일 비용 metric 기준 값인지 원문 재확인
